Blog	groups	ashtray	stretching	sum	indians	adventure	rightly	cell	reviewing	tstyle	reverse	statements	chilling	existent	sleepy	fortunately	typically	settle	exit	lone	behave	compositions	bastards	canned	pagination	jacob	reflective	legit	eleven	exclusively	spending	rival	wings	license	norm	encourage	haircut	emerge	actors	beg	honored	closet	outfits	pr	collector	whore	teenagers	leisure	mob	ali	marry	hopeful	jobs	knocking	westerns	pleased	females	elliot	someday	cutting	ken	historic	harris	meditation	insane	chant	myth	challenge	passive	longing	curse	lenny	jewelry	ducks	supreme	joan	graduation	nigel	recordings	pedal	security	tale	butter	redhead	spice	oklahoma	html	ringing	combine	army	sentiments	funk	cuff	violence	orbit	producer	ariel	switched	snakes	careless	equation	arriving	larger	syd	trivia	sharp	quit	critic	benefits	norton	colbert	glen	industry	clue	appeared	rivers	shaking	recipe	expanded	undoubtedly	endings	dancer	sailing	viewed	jurado	drove	kil	sheen	cassettes	steam	twigs	rockabilly	pummeling	reminder	sensibility	practically	lame	grande	resulting	chatter	afghan	remembering	breathtaking	carl	alps	happiness	buying	carrie	careers	dual	bucks	origins	quintessential	infinite	andrews	sunny	tower	chapters	ipod	immortal	ma	historically	cinema	escaped	abuse	powered	eric	argue	lip	approaches	schools	cramps	ash	blogged	gentleman	caring	downs	cos	appropriate	attempting	accepting	mo	eliminate	polar	cornell	flash	christian	leaning	electricity	strongly	grief	polite	responsible	rebellion	fake	rides	implies	ha	melvins	remove	plethora	gained	bundle	mc	crashed	astronaut	celebrate	fists	patient	knowledge	pulled	wives	symphony	laundry	instinct	spiritualized	mister	allow	landed	minority	futuristic	catches	surprises	claimed	index	railroad	fictional	luke	importance	aquarium	daddy	neighbors	fourteen	dime	kim	sports	delay	loser	slower	kramer	gutter	grinding	pro	gods	vocabulary	movies	goal	mondays	birth	mould	partnership	skinny	upcoming	grandfather	delivering	groundbreaking	jacuzzi	skills	announcement	insanely	sprawling	lucas	discography	served	humming	ashley	idiots	crows	truckers	subsequently	amused	effortlessly	haze	additions	flourishes	mccarthy	heath	execution	formed	tons	analysis	winding	percentage	evokes	donuts	impress	outlet	zone	surviving	julian	complain	wheels	palace	edward	shaped	ratio	tones	ry	cred	trapped	puppets	simpson	insert	consume	zeppelin	virtue	eps	nostalgic	alaska	bend	swallowed	accidentally	hallelujah	russia	directed	misery	greg	bizarre	dean	exhausting	eccentric	formerly	clicks	accurate	crashes	mod	rarity	goodies	kenny	shannon	pros	categories	majority	audible	cosmic	euro	proven	product	remedy	elliott	problematic	amongst	slate	blew	expert	tribe	circus	vox	iris	ny	ye	crushed	cartoon	parties	university	hyper	sidewalk	jan	trials	promised	wisconsin	grape	victims	matched	graphic	booker	umbrella	eternal	junior	swamp	oil	drake	originality	apartment	potter	marianne	explosive	dum	lily	chromatics	magnet	disgusting	pockets	stanley	assured	oldham	illustrated	legend	ads	logo	continent	noir	respond	tribal	sites	barnes	delivery	impression	health	info	chairs	los	straw	directors	desk	simone	thin	cheaper	thrive	allen	maiden	elite	ab	combined	venue	jonny	nothings	emergency	axis	studied	necessity	bush	confirm	newest	walker	shades	windows	realistic	handy	mystic	correct	palmer	eden	sans	observed	coachella	gimmick	fashioned	traded	titus	ellis	couch	bean	bursts	labor	quietly	featured	tease	species	louise	guessed	reviewer	experimental	ms	overhead	breakdown	drifting	amy	finest	northwest	babes	lonesome	owls	korea	bow	swords	confidence	suzanne	observations	trumpet	pile	hating	reflects	websites	horribly	cheating	sufjan	intensity	advantage	engage	zombie	laced	moore	wears	tremendous	winners	songwriters	concise	temptation	entering	jefferson	casey	veteran	coincidentally	distorted	riding	worlds	germans	lang	manning
Rosie Gigg A2 Media Studies	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
The Campus Buzz on WSOU	4	0	1	2	0	2	0	0	0	112	5	1	0	0	1	0	0	2	10	1	0	1	1	0	56	27	1	1	1	0	0	0	5	0	0	0	0	0	2	0	2	0	0	0	0	0	2	0	0	0	5	0	0	0	1	3	0	2	2	3	0	0	0	0	0	0	1	2	0	1	0	0	0	1	0	1	3	0	2	1	2	3	2	1	0	12	0	0	0	13	0	6	0	1	0	3	3	0	0	0	0	0	0	1	1	0	5	1	1	0	0	0	2	2	4	4	3	0	4	0	7	4	0	0	0	2	0	0	0	0	0	1	0	4	0	2	1	0	0	0	2	1	0	2	1	0	1	1	1	1	0	0	0	5	2	2	1	0	1	0	2	0	55	1	0	0	3	0	0	0	0	0	3	0	3	0	1	0	1	1	1	2	0	1	1	2	4	0	0	1	1	2	1	6	25	2	0	44	0	1	1	2	0	0	0	0	3	0	1	1	0	8	5	0	0	0	5	0	3	0	0	0	1	2	0	0	0	1	1	0	2	1	0	1	8	9	1	0	1	0	0	1	2	0	0	0	3	1	3	5	0	6	9	0	0	0	2	1	5	1	0	1	0	0	4	0	0	1	0	0	0	0	3	1	0	0	1	0	1	0	0	0	0	1	0	0	0	2	0	14	0	0	1	24	1	0	1	0	0	0	5	0	1	0	0	0	1	2	0	4	0	1	6	1	1	0	1	1	3	0	0	0	2	0	1	0	0	1	2	0	1	0	0	0	1	0	0	1	0	16	0	0	7	23	0	0	2	14	0	10	3	2	0	2	14	2	1	0	0	35	2	0	1	0	0	0	0	3	1	0	0	1	0	2	2	0	1	6	1	0	3	0	1	0	0	0	0	2	0	1	3	4	1	0	1	0	0	1	1	10	0	26	0	0	0	0	6	1	0	3	0	1	2	0	8	2	12	1	0	0	0	2	2	5	3	7	7	0	0	12	0	0	0	3	0	1	0	1	0	10	0	0	1	2	1	1	8	0	2	1	0	0	1	11	0	9	1	2	0	0	1	8	3	0	0	8	3	0	0	0	76	0	0	0	0	1	41	1	2	0	1	5	0	0	1	7	0	0	1	0	1	1	0	0	2	0	0	0	1	1
"DANCING IN CIRCLES"	1	0	0	1	0	2	0	0	0	6	0	0	0	0	4	0	0	0	1	0	0	0	2	1	0	2	0	0	1	0	1	0	3	1	1	0	1	0	0	0	1	0	0	0	0	0	0	1	2	7	0	1	0	0	0	0	0	2	1	2	3	2	0	0	0	4	6	4	0	0	1	0	0	0	1	5	0	0	29	0	1	2	0	0	2	0	0	0	0	6	0	3	0	2	1	0	0	1	5	0	0	2	0	0	1	21	0	0	1	2	0	1	1	0	2	0	1	0	0	0	0	1	5	0	2	1	0	0	0	0	0	0	0	1	0	1	0	0	0	3	0	5	0	2	5	5	0	0	0	0	0	0	0	0	1	2	1	0	3	0	2	0	0	0	0	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	5	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	3	0	3	1	1	1	2	2	0	0	1	0	1	3	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	1	2	0	1	6	0	1	0	0	1	0	0	0	3	2	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	37	0	1	0	8	7	1	11	0	2	1	0	0	1	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	8	0	0	0	0	0	0	1	0	1	0	4	5	2	1	0	3	1	0	0	1	0	0	3	1	0	0	2	1	0	0	0	0	4	1	5	3	0	0	0	0	0	0	1	0	0	0	8	0	0	0	0	0	10	0	0	0	0	1	2	0	0	0	0	1	3	0	4	1	1	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	4	0	0	10	1	4	0	0	1	0	0	2	0	0	0	0	0	0	0	1	0	1	0	2	0	1	0	3	0	0	0	12	1	1	0	0	0	2	0	0	7	0	0	4	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	7	1	0	0	0	0	0	3	1	0	1	0
Sonology	4	0	1	1	4	1	0	0	1	0	0	1	2	0	0	3	3	3	1	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	2	1	0	0	1	0	0	0	0	1	0	1	0	3	0	1	0	0	4	0	0	0	2	0	1	0	0	0	2	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	2	1	2	0	0	3	0	0	1	0	0	0	8	0	2	0	1	1	1	0	0	0	2	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	1	4	0	0	0	0	1	3	4	0	0	2	0	0	0	2	0	0	0	2	0	2	2	0	1	2	0	1	1	0	2	2	9	0	0	0	1	2	0	0	1	0	1	0	2	0	0	6	1	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	2	0	5	2	1	7	1	0	1	0	1	0	0	7	1	0	0	0	0	1	2	1	0	153	0	2	60	1	0	0	8	4	1	0	0	2	0	0	3	0	3	5	8	0	8	0	1	1	0	4	1	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	3	0	0	0	1	0	0	1	0	0	0	0	3	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	2	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	1	4	1	0	0	0	3	0	0	1	4	1	0	3	0	0	1	1	0	1	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	2	0	0	0	5	3	1	1	1	0	0	0	1	0	4	1	0	3	0	0	0	2	0	0	0	1	0	2	2	0	0	2	2	1	0	0	0	0	3	0	0	0	2	0	0	1	1	0	0	2	0	0	3	5	0	0	2	0	0	0	1	14	1	0	0	0	0	0	0	4	0	0	0	1	5	0	3	1	0	0	2	0	0	1	0	2	1	9	1	0	11	1	0	1	0	0	0	6	0	0	1	0	0	2	6	1	0	0
Morgan's Blog	0	0	1	1	0	8	1	4	0	0	0	0	0	1	0	0	1	2	1	0	0	0	0	1	0	0	0	0	0	0	4	0	1	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	1	0	1	1	2	0	0	1	0	0	0	4	0	3	0	0	1	0	1	2	4	0	0	0	0	0	2	2	0	0	0	0	0	2	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	1	0	0	2	1	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	6	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	2	2	0	0	1	0	4	2	0	0	0	0	0	0	2	0	0	1	1	2	1	0	0	0	0	1	0	0	0	4	1	2	0	1	1	0	2	3	0	0	0	0	1	0	0	2	1	0	3	0	2	0	1	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	3	1	3	0	0	3	0	0	1	0	0	0	0	4	0	0	1	0	2	0	2	0	0	0	1	10	1	0	10	3	0	2	0	0	0	3	0	0	0	0	1	0	1	0	0	0	3	0	0	0	0	0	0	0	1	1	0	0	0	4	0	1	2	0	0	0	2	0	1	0	2	0	0	1	0	0	0	2	0	0	0	0	2	0	1	0	1	0	1	0	1	1	0	1	0	0	0	0	3	0	2	0	1	0	0	2	0	0	0	0	0	0	0	0	2	3	0	0	0	0	2	0	0	1	0	1	0	0	0	4	0	4	3	0	1	0	1	0	1	3	0	1	0	0	0	3	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	2	0	0	0	1	1	2	0	0	1	2	0	0	0	1	0	2	0	0	2	6	1	1	0	0	0	0	0	2	0	0	2	2	0	0	1	1	0	0	0	0	0	3	12	0	0	0	2	1	9	1	0	2	0	0	0	1	0	1	2	0	0	0	3	1	0	0	0	0	0	2	1	2	0	0	2	1	1	0	0	0	0	0	0	0	0	2	0	3	0	0	0	1	0	2	0	0	1	0	2	4	1	0	0	1	2	0	3	0	0	0	0	0	0	1	0	0	1	2	0	0	0
Angie Dynamo	0	0	0	5	0	3	0	1	0	0	0	0	2	0	0	0	2	0	1	1	0	0	0	1	0	0	0	1	1	0	1	0	1	0	1	0	0	0	1	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	1	1	1	0	0	1	4	0	0	0	0	0	0	0	4	0	0	3	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	4	0	0	0	4	0	0	0	3	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	2	1	3	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	8	0	1	0	0	0	0	1	0	2	0	1	0	1	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	5	0	0	0	4	0	0	0	0	0	0	0	1	1	0	7	2	1	2	0	0	0	3	0	0	0	1	0	0	2	0	1	0	1	1	1	1	0	0	0	3	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	3	0	3	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	3	0	2	0	0	0	0	0	0	2	0	2	1	1	0	3	0	0	0	0	0	1	2	0	2	0	0	4	0	2	0	0	2	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	6	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	12	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	2	0	0	0	1	1	0	2	0	0	1	1	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	9	6	0	1	0	0	0	1	1	0	0	0	3	0	0	0	10	2	0	13	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	1	0	2	0	0	0	4	0	0	0	0
.	25	7	11	46	0	10	3	7	18	0	36	4	13	6	14	78	95	17	25	11	2	125	5	19	0	1	4	7	12	36	31	27	20	16	2	14	9	7	9	11	4	7	16	8	8	7	6	12	3	2	4	62	17	4	2	159	3	52	5	25	10	7	16	9	33	29	5	46	4	16	3	1	0	3	18	21	0	3	309	54	9	21	6	28	4	20	3	17	8	23	25	31	3	10	9	115	13	4	20	0	7	10	67	18	10	39	15	11	17	1	3	7	48	6	54	3	26	8	83	4	2	3	0	9	0	18	0	5	65	13	0	7	10	27	13	18	24	3	30	23	8	5	7	16	2	17	57	6	18	23	20	2	3	20	3	56	18	2	41	1	244	15	18	12	11	9	50	31	5	20	25	5	18	167	7	0	4	7	56	6	5	51	0	2	5	21	11	29	9	55	3	4	28	4	18	18	4	13	1	1	2	17	17	9	2	15	44	2	39	39	44	4	9	5	3	10	18	36	12	2	8	5	38	8	6	0	8	21	26	8	4	11	2	8	23	21	72	5	12	4	10	19	32	101	1	14	21	2	12	96	13	22	62	8	33	6	5	19	55	11	10	2	39	38	10	16	3	3	1	8	7	10	19	4	28	11	1	9	70	41	19	10	1	23	8	8	13	19	5	9	8	12	57	232	25	5	70	4	3	8	11	11	17	13	22	1	92	28	7	13	1	8	94	9	32	8	53	16	23	5	3	79	9	11	8	21	12	4	5	43	5	0	23	16	16	4	10	75	3	3	5	9	61	24	2	3	5	12	2	277	12	4	9	41	66	21	8	99	2	56	9	1	1	7	18	2	8	25	62	11	5	6	1	32	7	0	35	4	18	1	8	0	4	3	21	30	3	45	4	12	6	7	4	6	18	1	53	43	24	83	4	262	2	2	23	8	28	4	9	24	10	3	18	15	80	6	14	16	16	6	4	21	11	30	11	7	27	3	18	8	22	15	2	10	5	5	4	15	12	11	7	13	5	41	21	55	145	8	0	2	5	82	62	219	4	33	17	15	46	14	22	7	90	2	15	1	35	4	12	18	139	7	5	1	6	2	7	44	21	13	6	10	45	12	47	18	44	30	2	16	2	11	58	23	61	25	20	0	0	21
T H E V O I D S	3	0	0	0	0	0	0	0	0	12	1	0	1	0	0	0	5	0	0	0	0	0	0	0	6	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	1	4	0	0	0	1	0	0	0	0	0	4	0	0	2	0	0	0	4	0	0	0	0	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	9	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	1	2	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	15	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	3	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0	3	1	0	4	0	0	8	0	0	0	0	0	0	0	0	12	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
künstler treu	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	2	0	0	0	0	1	0	1	0	0	0	0	1	0	0	2	0	1	0	0	0	1	0	1	2	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	3	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	11	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	4	0	0	2	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	1	0	1	0	0	0	0	0	2	0	1	4	1	0	0	0	0	1	0	0	1	0	2	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	3	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
funky little demons	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Girl at the Rock Show	5	0	0	1	0	1	0	2	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	2	2	0	0	1	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	7	0	0	3	0	0	2	0	0	3	1	0	0	0	0	3	1	0	4	0	0	0	0	0	0	0	0	4	0	2	0	0	6	1	0	1	0	0	0	0	0	0	4	0	0	0	1	0	0	1	0	0	0	2	0	1	0	3	1	0	0	2	1	3	1	1	2	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	4	1	0	0	0	0	1	1	0	0	4	2	0	1	1	2	0	0	1	0	6	2	1	5	1	8	0	0	1	0	0	0	0	1	0	0	0	0	2	3	1	0	0	4	2	2	0	0	0	0	1	0	0	1	1	0	1	2	0	1	1	0	3	0	0	0	2	1	0	0	0	3	0	0	3	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	4	0	6	3	0	0	0	0	1	8	0	0	0	0	4	2	1	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	1	1	0	0	1	0	0	2	1	0	0	0	4	1	0	0	0	0	1	0	1	1	0	0	0	1	0	0	2	0	0	2	0	0	0	2	0	3	0	0	0	1	0	0	0	0	1	0	5	0	1	0	0	0	0	3	0	3	1	0	0	0	0	2	0	1	1	2	3	0	0	0	0	2	0	0	0	0	1	0	0	0	3	0	0	0	0	2	4	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	2	3	1	1	0	0	1	0	0	0	0	1	1	1	0	2	8	0	0	0	0	0	1	1	0	1	2	0	1	0	1	0	0	0	0	0	0	0	0	2	1	0	0	2	0	0	2	3	6	0	0	0	0	0	2	0	0	4	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	1	1	0	0	1	1	1	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0
But She's Not Stupid	14	3	2	6	2	51	2	29	2	4	1	5	0	2	10	3	0	12	6	1	1	2	0	3	2	600	0	3	8	4	36	1	7	15	7	7	4	0	58	3	14	24	7	1	2	1	15	1	9	0	18	2	22	5	0	19	2	0	32	14	8	0	0	1	16	1	8	23	0	9	10	0	8	2	8	2	10	2	1	2	13	16	6	3	4	22	4	2	3	8	5	7	2	15	1	8	3	2	0	3	0	8	6	5	0	7	4	2	10	0	4	0	25	6	3	2	6	3	1	1	6	9	1	7	0	40	0	0	0	4	0	0	0	23	0	7	33	6	5	0	1	8	0	1	0	32	25	107	6	0	5	0	7	5	2	5	8	5	10	3	7	4	2	5	8	0	37	7	9	0	11	5	1	10	15	18	2	0	10	26	6	3	9	0	1	5	62	14	18	9	3	3	8	2	23	7	5	66	0	14	1	5	4	5	3	0	20	2	8	49	34	1	0	29	4	0	0	27	10	1	1	0	2	4	2	4	2	24	11	0	6	14	3	2	1	4	4	0	1	3	1	1	25	6	8	63	50	1	24	0	0	7	8	1	1	0	2	11	22	6	2	1	0	12	0	5	1	1	1	0	3	0	1	1	0	2	8	1	11	16	3	0	4	0	9	3	5	5	2	1	10	4	3	4	5	0	0	1	0	10	2	1	3	3	0	2	0	2	3	1	4	24	8	3	13	2	0	38	8	9	0	0	0	18	0	1	1	0	0	2	6	6	15	0	4	1	3	5	2	0	7	4	1	6	6	8	2	0	1	4	10	4	8	13	18	2	14	0	3	6	1	0	9	4	13	0	2	20	8	0	7	0	0	76	27	0	1	2	11	0	3	3	2	0	2	0	1	3	6	1	0	0	9	2	2	9	3	9	16	41	12	3	1	8	21	0	10	6	0	12	1	2	2	13	7	0	0	7	0	3	2	2	0	8	14	3	22	5	7	1	9	0	9	3	7	0	2	2	1	1	5	37	8	2	8	15	4	1	22	0	3	0	3	0	2	5	1	3	3	7	1	0	2	7	4	4	21	1	6	2	15	6	5	3	5	2	0	1	16	1	23	2	3	6	3	2	0	1	4	6	2	4	1	0	1	19	11	0	1	0
